DEBUG 2025-04-05 00:18:07,801 autoreload 10932 2000 File C:\Users\HADIL\AppData\Local\Programs\Python\Python39\Lib\site-packages\django\db\backends\postgresql\schema.py first seen with mtime 1741126701.2990744
DEBUG 2025-04-05 00:18:07,802 autoreload 10932 2000 File C:\Users\HADIL\AppData\Local\Programs\Python\Python39\Lib\site-packages\urllib3\_version.py first seen with mtime 1706971918.0631952
DEBUG 2025-04-05 00:18:07,803 autoreload 10932 2000 File C:\Users\HADIL\AppData\Local\Programs\Python\Python39\Lib\site-packages\django\views\generic\detail.py first seen with mtime 1741126701.804505
DEBUG 2025-04-05 00:18:07,806 autoreload 10932 2000 File C:\Users\HADIL\AppData\Local\Programs\Python\Python39\Lib\site-packages\jinja2\optimizer.py first seen with mtime 1706972012.8092215
DEBUG 2025-04-05 00:18:07,809 autoreload 10932 2000 File C:\Users\HADIL\AppData\Local\Programs\Python\Python39\Lib\site-packages\yaml\representer.py first seen with mtime 1706972233.837424
DEBUG 2025-04-05 00:18:07,810 autoreload 10932 2000 File C:\Users\HADIL\AppData\Local\Programs\Python\Python39\Lib\site-packages\jinja2\exceptions.py first seen with mtime 1706972012.7889998
DEBUG 2025-04-05 00:18:07,811 autoreload 10932 2000 File C:\Users\HADIL\AppData\Local\Programs\Python\Python39\Lib\site-packages\django\db\models\fields\related_lookups.py first seen with mtime 1741126701.3983977
DEBUG 2025-04-05 00:18:07,813 autoreload 10932 2000 File C:\Users\HADIL\AppData\Local\Programs\Python\Python39\Lib\site-packages\yaml\serializer.py first seen with mtime 1706972233.8435452
DEBUG 2025-04-05 00:18:07,815 autoreload 10932 2000 File C:\Users\HADIL\AppData\Local\Programs\Python\Python39\DLLs\_ssl.pyd first seen with mtime 1601909220.0
DEBUG 2025-04-05 00:18:07,816 autoreload 10932 2000 File C:\Users\HADIL\AppData\Local\Programs\Python\Python39\Lib\importlib\util.py first seen with mtime 1601909202.0
DEBUG 2025-04-05 00:18:07,817 autoreload 10932 2000 File C:\Users\HADIL\AppData\Local\Programs\Python\Python39\Lib\selectors.py first seen with mtime 1601909202.0
DEBUG 2025-04-05 00:18:07,819 autoreload 10932 2000 File C:\Users\HADIL\AppData\Local\Programs\Python\Python39\Lib\site-packages\brotli.py first seen with mtime 1743721650.9072213
DEBUG 2025-04-05 00:18:07,820 autoreload 10932 2000 File C:\Users\HADIL\AppData\Local\Programs\Python\Python39\Lib\site-packages\django\db\models\sql\query.py first seen with mtime 1741126701.4226878
DEBUG 2025-04-05 00:18:07,825 autoreload 10932 2000 File C:\Users\HADIL\AppData\Local\Programs\Python\Python39\Lib\site-packages\idna\core.py first seen with mtime 1738358066.2219203
DEBUG 2025-04-05 00:18:07,826 autoreload 10932 2000 File C:\Users\HADIL\AppData\Local\Programs\Python\Python39\Lib\site-packages\psycopg2\errors.py first seen with mtime 1741137758.6375911
DEBUG 2025-04-05 00:18:07,827 autoreload 10932 2000 File C:\Users\HADIL\AppData\Local\Programs\Python\Python39\Lib\site-packages\rest_framework\settings.py first seen with mtime 1741137759.4245136
